"protein__id","gene__name","group","replicate","variable","value"
"ACQ41977.1",NA,"Cefotaxime",3,"lfq",24.9717
"ACQ41977.1",NA,"Impipenem",1,"lfq",25.8281
"ACQ41977.1",NA,"Impipenem",2,"lfq",25.0214
"ACQ41977.1",NA,"Impipenem",3,"lfq",24.7062
"ACQ41977.1",NA,"Ciprofloxacin",1,"lfq",25.3644
"ACQ41977.1",NA,"Ciprofloxacin",2,"lfq",25.6523
"ACQ41977.1",NA,"Ciprofloxacin",3,"lfq",25.8179
"ACQ41977.1",NA,"Control",1,"lfq",23.7989
"ACQ41977.1",NA,"Control",2,"lfq",24.9121
"ACQ41977.1",NA,"Control",3,"lfq",25.4401
"ACQ42006.1",NA,"Ampicillin",1,"lfq",24.4971
"ACQ42006.1",NA,"Ampicillin",2,"lfq",24.1877
"ACQ42006.1",NA,"Ampicillin",3,"lfq",23.4705
"ACQ42006.1",NA,"Cefotaxime",1,"lfq",27.8062
"ACQ42006.1",NA,"Cefotaxime",2,"lfq",24.3875
"ACQ42006.1",NA,"Cefotaxime",3,"lfq",26.3394
"ACQ42006.1",NA,"Impipenem",1,"lfq",27.3815
"ACQ42006.1",NA,"Impipenem",2,"lfq",27.5245
"ACQ42006.1",NA,"Impipenem",3,"lfq",24.3834
"ACQ42006.1",NA,"Ciprofloxacin",1,"lfq",25.9224
"ACQ42006.1",NA,"Ciprofloxacin",2,"lfq",24.5747
"ACQ42006.1",NA,"Ciprofloxacin",3,"lfq",22.792
"ACQ42006.1",NA,"Control",1,"lfq",27.0206
"ACQ42006.1",NA,"Control",2,"lfq",27.3275
"ACQ42006.1",NA,"Control",3,"lfq",27.1247
"ACQ42024.1",NA,"Ampicillin",1,"lfq",28.2335
"ACQ42024.1",NA,"Ampicillin",2,"lfq",26.5797
"ACQ42024.1",NA,"Ampicillin",3,"lfq",29.0626
"ACQ42024.1",NA,"Cefotaxime",1,"lfq",29.5706
"ACQ42024.1",NA,"Cefotaxime",2,"lfq",29.117
"ACQ42024.1",NA,"Cefotaxime",3,"lfq",29.6083
"ACQ42024.1",NA,"Impipenem",1,"lfq",29.9096
"ACQ42024.1",NA,"Impipenem",2,"lfq",30.1399
"ACQ42024.1",NA,"Impipenem",3,"lfq",30.7119
"ACQ42024.1",NA,"Ciprofloxacin",1,"lfq",30.3731
"ACQ42024.1",NA,"Ciprofloxacin",2,"lfq",29.8435
"ACQ42024.1",NA,"Ciprofloxacin",3,"lfq",29.9994
"ACQ42024.1",NA,"Control",1,"lfq",27.4281
"ACQ42024.1",NA,"Control",2,"lfq",29.0942
"ACQ42024.1",NA,"Control",3,"lfq",28.6517
"ACQ42036.1",NA,"Ampicillin",1,"lfq",26.2056
"ACQ42036.1",NA,"Ampicillin",2,"lfq",26.6164
"ACQ42036.1",NA,"Ampicillin",3,"lfq",26.244
"ACQ42036.1",NA,"Cefotaxime",1,"lfq",26.3227
"ACQ42036.1",NA,"Cefotaxime",2,"lfq",24.9143
"ACQ42036.1",NA,"Cefotaxime",3,"lfq",26.348
"ACQ42036.1",NA,"Impipenem",1,"lfq",26.9393
"ACQ42036.1",NA,"Impipenem",2,"lfq",26.5688
"ACQ42036.1",NA,"Impipenem",3,"lfq",24.3982
"ACQ42036.1",NA,"Ciprofloxacin",1,"lfq",24.1375
"ACQ42036.1",NA,"Ciprofloxacin",2,"lfq",24.4271
"ACQ42036.1",NA,"Ciprofloxacin",3,"lfq",25.2148
"ACQ42036.1",NA,"Control",1,"lfq",22.7568
"ACQ42036.1",NA,"Control",2,"lfq",26.6074
"ACQ42036.1",NA,"Control",3,"lfq",26.2316
"ACQ42045.1",NA,"Ampicillin",1,"lfq",32.5698
"ACQ42045.1",NA,"Ampicillin",2,"lfq",32.3957
"ACQ42045.1",NA,"Ampicillin",3,"lfq",33.0636
"ACQ42045.1",NA,"Cefotaxime",1,"lfq",32.6473
"ACQ42045.1",NA,"Cefotaxime",2,"lfq",32.4935
"ACQ42045.1",NA,"Cefotaxime",3,"lfq",32.7512
"ACQ42045.1",NA,"Impipenem",1,"lfq",32.2604
"ACQ42045.1",NA,"Impipenem",2,"lfq",32.309
"ACQ42045.1",NA,"Impipenem",3,"lfq",31.972
"ACQ42045.1",NA,"Ciprofloxacin",1,"lfq",32.3105
"ACQ42045.1",NA,"Ciprofloxacin",2,"lfq",31.7699
"ACQ42045.1",NA,"Ciprofloxacin",3,"lfq",31.3072
"ACQ42045.1",NA,"Control",1,"lfq",31.7283
"ACQ42045.1",NA,"Control",2,"lfq",32.2477
"ACQ42045.1",NA,"Control",3,"lfq",32.3441
"ACQ42046.1",NA,"Ampicillin",1,"lfq",29.7888
"ACQ42046.1",NA,"Ampicillin",2,"lfq",28.4346
"ACQ42046.1",NA,"Ampicillin",3,"lfq",30.8056
"ACQ42046.1",NA,"Cefotaxime",1,"lfq",30.8211
"ACQ42046.1",NA,"Cefotaxime",2,"lfq",30.3832
"ACQ42046.1",NA,"Cefotaxime",3,"lfq",30.5672
"ACQ42046.1",NA,"Impipenem",1,"lfq",30.5298
"ACQ42046.1",NA,"Impipenem",2,"lfq",30.5858
"ACQ42046.1",NA,"Impipenem",3,"lfq",30.8524
"ACQ42046.1",NA,"Ciprofloxacin",1,"lfq",31.0511
"ACQ42046.1",NA,"Ciprofloxacin",2,"lfq",30.553
"ACQ42046.1",NA,"Ciprofloxacin",3,"lfq",30.4271
"ACQ42046.1",NA,"Control",1,"lfq",29.1439
"ACQ42046.1",NA,"Control",2,"lfq",30.4658
"ACQ42046.1",NA,"Control",3,"lfq",30.0566
"ACQ42051.1",NA,"Ampicillin",1,"lfq",24.3892
"ACQ42051.1",NA,"Ampicillin",2,"lfq",24.1676
"ACQ42051.1",NA,"Ampicillin",3,"lfq",26.8046
"ACQ42051.1",NA,"Cefotaxime",1,"lfq",27.4073
"ACQ42051.1",NA,"Cefotaxime",2,"lfq",27.0784
"ACQ42051.1",NA,"Cefotaxime",3,"lfq",27.5011
"ACQ42051.1",NA,"Impipenem",1,"lfq",26.6168
"ACQ42051.1",NA,"Impipenem",2,"lfq",26.2342
"ACQ42051.1",NA,"Impipenem",3,"lfq",26.6081
"ACQ42051.1",NA,"Ciprofloxacin",1,"lfq",29.3371
"ACQ42051.1",NA,"Ciprofloxacin",2,"lfq",27.1818
"ACQ42051.1",NA,"Ciprofloxacin",3,"lfq",27.4054
"ACQ42051.1",NA,"Control",1,"lfq",22.4108
"ACQ42051.1",NA,"Control",2,"lfq",25.716
"ACQ42051.1",NA,"Control",3,"lfq",25.179
"ACQ42056.1",NA,"Ampicillin",1,"lfq",26.0653
"ACQ42056.1",NA,"Ampicillin",2,"lfq",27.537
"ACQ42056.1",NA,"Ampicillin",3,"lfq",23.9421
"ACQ42056.1",NA,"Cefotaxime",1,"lfq",24.2024
"ACQ42056.1",NA,"Cefotaxime",2,"lfq",26.7797
"ACQ42056.1",NA,"Cefotaxime",3,"lfq",26.4628
"ACQ42056.1",NA,"Impipenem",1,"lfq",26.5855
"ACQ42056.1",NA,"Impipenem",2,"lfq",27.014
"ACQ42056.1",NA,"Impipenem",3,"lfq",24.0961
"ACQ42056.1",NA,"Ciprofloxacin",1,"lfq",26.3162
"ACQ42056.1",NA,"Ciprofloxacin",2,"lfq",26.3356
"ACQ42056.1",NA,"Ciprofloxacin",3,"lfq",26.4963
"ACQ42056.1",NA,"Control",1,"lfq",26.8843
"ACQ42056.1",NA,"Control",2,"lfq",26.9991
"ACQ42056.1",NA,"Control",3,"lfq",26.7788
"ACQ42065.1",NA,"Ampicillin",1,"lfq",25.7451
"ACQ42065.1",NA,"Ampicillin",2,"lfq",25.805
"ACQ42065.1",NA,"Ampicillin",3,"lfq",26.1399
"ACQ42065.1",NA,"Cefotaxime",1,"lfq",25.901
"ACQ42065.1",NA,"Cefotaxime",2,"lfq",24.906
"ACQ42065.1",NA,"Cefotaxime",3,"lfq",26.491
"ACQ42065.1",NA,"Impipenem",1,"lfq",27.3926
"ACQ42065.1",NA,"Impipenem",2,"lfq",27.0308
"ACQ42065.1",NA,"Impipenem",3,"lfq",26.7822
"ACQ42065.1",NA,"Ciprofloxacin",1,"lfq",26.5014
"ACQ42065.1",NA,"Ciprofloxacin",2,"lfq",26.5886
"ACQ42065.1",NA,"Ciprofloxacin",3,"lfq",27.183
"ACQ42065.1",NA,"Control",1,"lfq",26.5553
"ACQ42065.1",NA,"Control",2,"lfq",27.2181
"ACQ42065.1",NA,"Control",3,"lfq",27.673
"ACQ42069.1",NA,"Ampicillin",1,"lfq",27.7962
"ACQ42069.1",NA,"Ampicillin",2,"lfq",27.5631
"ACQ42069.1",NA,"Ampicillin",3,"lfq",29.1084
"ACQ42069.1",NA,"Cefotaxime",1,"lfq",28.1239
"ACQ42069.1",NA,"Cefotaxime",2,"lfq",27.1317
"ACQ42069.1",NA,"Cefotaxime",3,"lfq",27.7748
"ACQ42069.1",NA,"Impipenem",1,"lfq",27.8415
"ACQ42069.1",NA,"Impipenem",2,"lfq",28.1527
"ACQ42069.1",NA,"Impipenem",3,"lfq",27.7983
"ACQ42069.1",NA,"Ciprofloxacin",1,"lfq",27.451
"ACQ42069.1",NA,"Ciprofloxacin",2,"lfq",25.1019
"ACQ42069.1",NA,"Ciprofloxacin",3,"lfq",22.5707
"ACQ42069.1",NA,"Control",1,"lfq",27.6875
"ACQ42069.1",NA,"Control",2,"lfq",27.5329
"ACQ42069.1",NA,"Control",3,"lfq",27.0963
"ACQ42094.1",NA,"Ampicillin",1,"lfq",27.5113
"ACQ42094.1",NA,"Ampicillin",2,"lfq",29.3733
"ACQ42094.1",NA,"Ampicillin",3,"lfq",24.3489
"ACQ42094.1",NA,"Cefotaxime",1,"lfq",28.8541
"ACQ42094.1",NA,"Cefotaxime",2,"lfq",26.5868
"ACQ42094.1",NA,"Cefotaxime",3,"lfq",28.229
"ACQ42094.1",NA,"Impipenem",1,"lfq",30.4183
"ACQ42094.1",NA,"Impipenem",2,"lfq",29.732
"ACQ42094.1",NA,"Impipenem",3,"lfq",27.5389
"ACQ42094.1",NA,"Ciprofloxacin",1,"lfq",30.065
"ACQ42094.1",NA,"Ciprofloxacin",2,"lfq",27.8094
"ACQ42094.1",NA,"Ciprofloxacin",3,"lfq",28.3936
"ACQ42094.1",NA,"Control",1,"lfq",28.7644
"ACQ42094.1",NA,"Control",2,"lfq",29.1652
"ACQ42094.1",NA,"Control",3,"lfq",29.8941
"ACQ42102.1",NA,"Ampicillin",1,"lfq",28.1648
"ACQ42102.1",NA,"Ampicillin",2,"lfq",27.7603
"ACQ42102.1",NA,"Ampicillin",3,"lfq",28.1694
"ACQ42102.1",NA,"Cefotaxime",1,"lfq",28.5553
"ACQ42102.1",NA,"Cefotaxime",2,"lfq",27.5161
"ACQ42102.1",NA,"Cefotaxime",3,"lfq",28.3311
"ACQ42102.1",NA,"Impipenem",1,"lfq",29.2693
"ACQ42102.1",NA,"Impipenem",2,"lfq",29.4049
"ACQ42102.1",NA,"Impipenem",3,"lfq",28.6175
"ACQ42102.1",NA,"Ciprofloxacin",1,"lfq",28.9625
"ACQ42102.1",NA,"Ciprofloxacin",2,"lfq",28.0761
"ACQ42102.1",NA,"Ciprofloxacin",3,"lfq",25.575
"ACQ42102.1",NA,"Control",1,"lfq",27.1998
"ACQ42102.1",NA,"Control",2,"lfq",29.2144
"ACQ42102.1",NA,"Control",3,"lfq",29.1232
"ACQ42108.1",NA,"Ampicillin",1,"lfq",27.0451
"ACQ42108.1",NA,"Ampicillin",2,"lfq",26.2522
"ACQ42108.1",NA,"Ampicillin",3,"lfq",26.0191
"ACQ42108.1",NA,"Cefotaxime",1,"lfq",26.3374
"ACQ42108.1",NA,"Cefotaxime",2,"lfq",26.6853
"ACQ42108.1",NA,"Cefotaxime",3,"lfq",25.7975
"ACQ42108.1",NA,"Impipenem",1,"lfq",26.6345
"ACQ42108.1",NA,"Impipenem",2,"lfq",26.5038
"ACQ42108.1",NA,"Impipenem",3,"lfq",25.6961
"ACQ42108.1",NA,"Ciprofloxacin",1,"lfq",24.9328
"ACQ42108.1",NA,"Ciprofloxacin",2,"lfq",25.5104
"ACQ42108.1",NA,"Ciprofloxacin",3,"lfq",25.37
"ACQ42108.1",NA,"Control",1,"lfq",26.6847
"ACQ42108.1",NA,"Control",2,"lfq",25.8134
"ACQ42108.1",NA,"Control",3,"lfq",26.0367
"ACQ42109.1",NA,"Ampicillin",1,"lfq",25.3481
"ACQ42109.1",NA,"Ampicillin",2,"lfq",23.5081
"ACQ42109.1",NA,"Ampicillin",3,"lfq",23.099
"ACQ42109.1",NA,"Cefotaxime",1,"lfq",24.2213
"ACQ42109.1",NA,"Cefotaxime",2,"lfq",25.1548
"ACQ42109.1",NA,"Cefotaxime",3,"lfq",24.5393
"ACQ42109.1",NA,"Impipenem",1,"lfq",24.1108
"ACQ42109.1",NA,"Impipenem",2,"lfq",24.0846
"ACQ42109.1",NA,"Impipenem",3,"lfq",24.502
"ACQ42109.1",NA,"Ciprofloxacin",1,"lfq",24.8595
"ACQ42109.1",NA,"Ciprofloxacin",2,"lfq",24.2638
"ACQ42109.1",NA,"Ciprofloxacin",3,"lfq",23.3394
"ACQ42109.1",NA,"Control",1,"lfq",24.7231
"ACQ42109.1",NA,"Control",2,"lfq",23.1891
"ACQ42109.1",NA,"Control",3,"lfq",25.0646
"P00350","gnd","Ampicillin",1,"lfq",32.2142
"P00350","gnd","Ampicillin",2,"lfq",32.5136
"P00350","gnd","Ampicillin",3,"lfq",31.9606
"P00350","gnd","Cefotaxime",1,"lfq",31.6939
"P00350","gnd","Cefotaxime",2,"lfq",31.6921
"P00350","gnd","Cefotaxime",3,"lfq",31.6024
"P00350","gnd","Impipenem",1,"lfq",31.7651
"P00350","gnd","Impipenem",2,"lfq",31.9879
"P00350","gnd","Impipenem",3,"lfq",31.5909
"P00350","gnd","Ciprofloxacin",1,"lfq",32.5448
"P00350","gnd","Ciprofloxacin",2,"lfq",32.428
"P00350","gnd","Ciprofloxacin",3,"lfq",32.375
"P00350","gnd","Control",1,"lfq",31.9036
"P00350","gnd","Control",2,"lfq",32.0817
"P00350","gnd","Control",3,"lfq",31.9427
"P00363","frdA","Ampicillin",1,"lfq",26.3379
"P00363","frdA","Ampicillin",2,"lfq",27.1283
"P00363","frdA","Ampicillin",3,"lfq",26.9136
"P00363","frdA","Cefotaxime",1,"lfq",26.0157
"P00363","frdA","Cefotaxime",2,"lfq",26.1885
"P00363","frdA","Cefotaxime",3,"lfq",26.4318
"P00363","frdA","Impipenem",1,"lfq",26.229
"P00363","frdA","Impipenem",2,"lfq",26.2888
"P00363","frdA","Impipenem",3,"lfq",26.1506
"P00363","frdA","Ciprofloxacin",1,"lfq",26.9108
"P00363","frdA","Ciprofloxacin",2,"lfq",26.9864
"P00363","frdA","Ciprofloxacin",3,"lfq",26.1002
"P00363","frdA","Control",1,"lfq",26.1746
"P00363","frdA","Control",2,"lfq",26.3729
"P00363","frdA","Control",3,"lfq",26.6429
"P00370","gdhA","Ampicillin",1,"lfq",26.0673
"P00370","gdhA","Ampicillin",2,"lfq",26.8433
"P00370","gdhA","Ampicillin",3,"lfq",26.1137
"P00370","gdhA","Cefotaxime",1,"lfq",26.1546
"P00370","gdhA","Cefotaxime",2,"lfq",26.268
"P00370","gdhA","Cefotaxime",3,"lfq",26.8439
"P00370","gdhA","Impipenem",1,"lfq",27.4305
"P00370","gdhA","Impipenem",2,"lfq",27.3214
"P00370","gdhA","Impipenem",3,"lfq",26.8583
"P00370","gdhA","Ciprofloxacin",1,"lfq",25.8962
"P00370","gdhA","Ciprofloxacin",2,"lfq",26.6786
"P00370","gdhA","Ciprofloxacin",3,"lfq",26.1546
"P00370","gdhA","Control",1,"lfq",26.4738
"P00370","gdhA","Control",2,"lfq",27.4339
"P00370","gdhA","Control",3,"lfq",27.5087
"P00448","sodA","Ampicillin",1,"lfq",32.0818
"P00448","sodA","Ampicillin",2,"lfq",31.4953
"P00448","sodA","Ampicillin",3,"lfq",32.3856
"P00448","sodA","Cefotaxime",1,"lfq",31.5042
"P00448","sodA","Cefotaxime",2,"lfq",32.0313
"P00448","sodA","Cefotaxime",3,"lfq",31.5757
"P00448","sodA","Impipenem",1,"lfq",30.972
"P00448","sodA","Impipenem",2,"lfq",31.2744
"P00448","sodA","Impipenem",3,"lfq",31.1848
"P00448","sodA","Ciprofloxacin",1,"lfq",32.2331
"P00448","sodA","Ciprofloxacin",2,"lfq",31.3613
"P00448","sodA","Ciprofloxacin",3,"lfq",30.8461
"P00448","sodA","Control",1,"lfq",31.2421
"P00448","sodA","Control",2,"lfq",30.9513
"P00448","sodA","Control",3,"lfq",31.1555
"P00452","nrdA","Ampicillin",1,"lfq",31.057
"P00452","nrdA","Ampicillin",2,"lfq",31.0482
"P00452","nrdA","Ampicillin",3,"lfq",29.9596
"P00452","nrdA","Cefotaxime",1,"lfq",30.9111
"P00452","nrdA","Cefotaxime",2,"lfq",29.4095
"P00452","nrdA","Cefotaxime",3,"lfq",30.0847
"P00452","nrdA","Impipenem",1,"lfq",30.5843
"P00452","nrdA","Impipenem",2,"lfq",30.1041
"P00452","nrdA","Impipenem",3,"lfq",27.952
"P00452","nrdA","Ciprofloxacin",1,"lfq",29.6425
"P00452","nrdA","Ciprofloxacin",2,"lfq",30.0981
"P00452","nrdA","Ciprofloxacin",3,"lfq",29.9503
"P00452","nrdA","Control",1,"lfq",30.9506
"P00452","nrdA","Control",2,"lfq",30.6902
"P00452","nrdA","Control",3,"lfq",29.9653
"P00490","malP","Ampicillin",1,"lfq",27.7705
"P00490","malP","Ampicillin",2,"lfq",28.5185
"P00490","malP","Ampicillin",3,"lfq",27.8268
"P00490","malP","Cefotaxime",1,"lfq",28.7185
"P00490","malP","Cefotaxime",2,"lfq",28.3362
"P00490","malP","Cefotaxime",3,"lfq",28.7322
"P00490","malP","Impipenem",1,"lfq",28.8318
"P00490","malP","Impipenem",2,"lfq",28.9341
"P00490","malP","Impipenem",3,"lfq",29.5426
"P00490","malP","Ciprofloxacin",1,"lfq",29.5902
"P00490","malP","Ciprofloxacin",2,"lfq",27.2967
"P00490","malP","Ciprofloxacin",3,"lfq",27.5543
"P00490","malP","Control",1,"lfq",28.4126
"P00490","malP","Control",2,"lfq",28.8571
"P00490","malP","Control",3,"lfq",29.3262
"P00509","aspC","Ampicillin",1,"lfq",30.8351
"P00509","aspC","Ampicillin",2,"lfq",31.6323
"P00509","aspC","Ampicillin",3,"lfq",30.6242
"P00509","aspC","Cefotaxime",1,"lfq",30.8682
"P00509","aspC","Cefotaxime",2,"lfq",30.3125
"P00509","aspC","Cefotaxime",3,"lfq",30.7412
"P00509","aspC","Impipenem",1,"lfq",31.4152
"P00509","aspC","Impipenem",2,"lfq",31.3616
"P00509","aspC","Impipenem",3,"lfq",31.1776
"P00509","aspC","Ciprofloxacin",1,"lfq",31.5239
"P00509","aspC","Ciprofloxacin",2,"lfq",31.2324
"P00509","aspC","Ciprofloxacin",3,"lfq",31.5989
"P00509","aspC","Control",1,"lfq",31.3071
"P00509","aspC","Control",2,"lfq",31.3582
"P00509","aspC","Control",3,"lfq",31.4202
"P00579","rpoD","Ampicillin",1,"lfq",28.0179
"P00579","rpoD","Ampicillin",2,"lfq",28.0912
"P00579","rpoD","Ampicillin",3,"lfq",27.8584
"P00579","rpoD","Cefotaxime",1,"lfq",27.5956
"P00579","rpoD","Cefotaxime",2,"lfq",27.3071
"P00579","rpoD","Cefotaxime",3,"lfq",27.7038
"P00579","rpoD","Impipenem",1,"lfq",28.0783
"P00579","rpoD","Impipenem",2,"lfq",27.6766
"P00579","rpoD","Impipenem",3,"lfq",27.2208
"P00579","rpoD","Ciprofloxacin",1,"lfq",27.9402
"P00579","rpoD","Ciprofloxacin",2,"lfq",27.5749
"P00579","rpoD","Ciprofloxacin",3,"lfq",27.6615
"P00579","rpoD","Control",1,"lfq",28.0358
"P00579","rpoD","Control",2,"lfq",28.1778
"P00579","rpoD","Control",3,"lfq",28.2812
"P00582","polA","Ampicillin",1,"lfq",28.4115
"P00582","polA","Ampicillin",2,"lfq",29.0478
"P00582","polA","Ampicillin",3,"lfq",28.5204
"P00582","polA","Cefotaxime",1,"lfq",28.9496
"P00582","polA","Cefotaxime",2,"lfq",28.304
"P00582","polA","Cefotaxime",3,"lfq",28.7291
"P00582","polA","Impipenem",1,"lfq",28.9175
"P00582","polA","Impipenem",2,"lfq",28.8974
"P00582","polA","Impipenem",3,"lfq",28.9369
"P00582","polA","Ciprofloxacin",1,"lfq",29.1598
"P00582","polA","Ciprofloxacin",2,"lfq",29.1032
"P00582","polA","Ciprofloxacin",3,"lfq",28.9506
"P00582","polA","Control",1,"lfq",28.8186
"P00582","polA","Control",2,"lfq",28.9856
"P00582","polA","Control",3,"lfq",29.4491
"P00722","lacZ","Ampicillin",1,"lfq",27.0908
"P00722","lacZ","Ampicillin",2,"lfq",28.0951
"P00722","lacZ","Ampicillin",3,"lfq",26.9201
"P00722","lacZ","Cefotaxime",1,"lfq",28.3115
"P00722","lacZ","Cefotaxime",2,"lfq",26.9705
"P00722","lacZ","Cefotaxime",3,"lfq",28.2185
"P00722","lacZ","Impipenem",1,"lfq",29.2792
"P00722","lacZ","Impipenem",2,"lfq",29.2371
"P00722","lacZ","Impipenem",3,"lfq",28.7158
"P00722","lacZ","Ciprofloxacin",1,"lfq",30.2822
"P00722","lacZ","Ciprofloxacin",2,"lfq",29.1023
"P00722","lacZ","Ciprofloxacin",3,"lfq",28.8812
"P00722","lacZ","Control",1,"lfq",28.1882
"P00722","lacZ","Control",2,"lfq",27.8913
"P00722","lacZ","Control",3,"lfq",28.8033
"P00805","ansB","Ampicillin",1,"lfq",32.2611
"P00805","ansB","Ampicillin",2,"lfq",31.5588
"P00805","ansB","Ampicillin",3,"lfq",32.5891
"P00805","ansB","Cefotaxime",1,"lfq",32.0555
"P00805","ansB","Cefotaxime",2,"lfq",32.5087
"P00805","ansB","Cefotaxime",3,"lfq",32.3214
"P00805","ansB","Impipenem",1,"lfq",31.6933
"P00805","ansB","Impipenem",2,"lfq",31.8054
"P00805","ansB","Impipenem",3,"lfq",31.5078
"P00805","ansB","Ciprofloxacin",1,"lfq",32.1848
"P00805","ansB","Ciprofloxacin",2,"lfq",31.4146
"P00805","ansB","Ciprofloxacin",3,"lfq",31.3497
"P00805","ansB","Control",1,"lfq",31.7622
"P00805","ansB","Control",2,"lfq",31.7424
"P00805","ansB","Control",3,"lfq",31.6046
"P00864","ppc","Ampicillin",1,"lfq",30.8855
"P00864","ppc","Ampicillin",2,"lfq",31.0644
"P00864","ppc","Ampicillin",3,"lfq",30.6952
"P00864","ppc","Cefotaxime",1,"lfq",30.8279
"P00864","ppc","Cefotaxime",2,"lfq",30.768
"P00864","ppc","Cefotaxime",3,"lfq",30.6714
"P00864","ppc","Impipenem",1,"lfq",30.7557
"P00864","ppc","Impipenem",2,"lfq",30.8352
"P00864","ppc","Impipenem",3,"lfq",31.0268
"P00864","ppc","Ciprofloxacin",1,"lfq",31.5756
"P00864","ppc","Ciprofloxacin",2,"lfq",31.0041
"P00864","ppc","Ciprofloxacin",3,"lfq",31.0139
"P00864","ppc","Control",1,"lfq",31.066
"P00864","ppc","Control",2,"lfq",31.1456
"P00864","ppc","Control",3,"lfq",31.1553
"P00888","aroF","Ampicillin",1,"lfq",24.3081
"P00888","aroF","Ampicillin",2,"lfq",24.3566
"P00888","aroF","Ampicillin",3,"lfq",23.595
"P00888","aroF","Cefotaxime",1,"lfq",25.5427
"P00888","aroF","Cefotaxime",2,"lfq",24.6461
"P00888","aroF","Cefotaxime",3,"lfq",25.4094
"P00888","aroF","Impipenem",1,"lfq",25.678
"P00888","aroF","Impipenem",2,"lfq",25.4306
"P00888","aroF","Impipenem",3,"lfq",25.2553
"P00888","aroF","Ciprofloxacin",1,"lfq",25.9636
"P00888","aroF","Ciprofloxacin",2,"lfq",24.0687
"P00888","aroF","Ciprofloxacin",3,"lfq",25.3262
"P00888","aroF","Control",1,"lfq",24.2634
"P00888","aroF","Control",2,"lfq",26.4116
"P00888","aroF","Control",3,"lfq",23.2532
"P00909","trpC","Ampicillin",1,"lfq",26.2618
"P00909","trpC","Ampicillin",2,"lfq",24.3727
"P00909","trpC","Ampicillin",3,"lfq",25.734
"P00909","trpC","Cefotaxime",1,"lfq",26.6939
"P00909","trpC","Cefotaxime",2,"lfq",25.8741
"P00909","trpC","Cefotaxime",3,"lfq",26.7169
"P00909","trpC","Impipenem",1,"lfq",26.807
"P00909","trpC","Impipenem",2,"lfq",26.6244
"P00909","trpC","Impipenem",3,"lfq",26.0165
"P00909","trpC","Ciprofloxacin",1,"lfq",24.2674
"P00909","trpC","Ciprofloxacin",2,"lfq",24.7665
"P00909","trpC","Ciprofloxacin",3,"lfq",23.1247
"P00909","trpC","Control",1,"lfq",26.2282
"P00909","trpC","Control",2,"lfq",26.4058
"P00909","trpC","Control",3,"lfq",26.9141
"P00926","dsdA","Ampicillin",1,"lfq",25.9269
"P00926","dsdA","Ampicillin",2,"lfq",24.5659
"P00926","dsdA","Ampicillin",3,"lfq",25.5725
